1,"[1245, 2936, 3079, 1490, 1165]",40.01
1,"[25, 2380, 1058, 1899, 2720]",411.97
1,"[2119, 3501, 1751, 3561, 2237]",922.51
1,"[2919, 116, 3212, 3300, 2625]",689.43
1,"[167, 3149, 1093, 1743, 2198]",174.54
1,"[3276, 3555, 2434, 3597, 433]",200.04
1,"[1579, 2742, 1358, 772, 1554]",232.45
1,"[3559, 1151, 322, 232, 3032]",447.76
1,"[3638, 2026, 3791, 2548, 769]",88.45
1,"[2358, 3365, 3461, 3630, 3958]",206.48
2,"[2119, 3501, 1751, 3561, 2237]",922.51
2,"[3276, 3555, 2434, 3597, 433]",200.04
2,"[3638, 3365, 3461, 3630, 3958]",226.49
2,"[3559, 1151, 322, 3561, 2237]",398.29
2,"[232, 1751, 3501, 2119, 3032]",971.98
2,"[3212, 116, 2919, 1899, 2720]",687.45
2,"[25, 2380, 3300, 1058, 2625]",413.95
2,"[3276, 3555, 3212, 3300, 2625]",167.07
2,"[2919, 116, 2434, 3597, 433]",722.4
2,"[2119, 3501, 1751, 3561, 2237]",922.51
3,"[2919, 116, 2434, 3597, 433]",722.4
3,"[2919, 116, 2434, 3597, 433]",722.4
3,"[232, 1751, 3501, 2119, 3032]",971.98
3,"[2919, 116, 2434, 3597, 433]",722.4
3,"[1751, 3501, 3276, 3561, 2237]",784.51
3,"[2119, 3501, 1751, 3561, 2237]",922.51
3,"[25, 2380, 3300, 1058, 2625]",413.95
3,"[3212, 116, 2919, 1899, 2720]",687.45
3,"[2919, 116, 2434, 3597, 433]",722.4
3,"[2119, 3501, 1751, 232, 3032]",971.98
4,"[1751, 3501, 3597, 2434, 433]",809.81
4,"[2919, 116, 2434, 3597, 433]",722.4
4,"[2119, 3501, 1751, 232, 3032]",971.98
4,"[2119, 116, 2919, 1899, 2720]",890.65
4,"[3501, 3212, 1751, 3561, 2237]",719.31
4,"[2919, 116, 2434, 3597, 433]",722.4
4,"[2919, 116, 2434, 3597, 433]",722.4
4,"[232, 2119, 3501, 1751, 3032]",971.98
4,"[232, 1751, 3501, 2119, 3032]",971.98
4,"[232, 1751, 3501, 2119, 3032]",971.98
5,"[3501, 3212, 1751, 3561, 2237]",719.31
5,"[3501, 3212, 1751, 3561, 2237]",719.31
5,"[232, 1751, 3501, 2119, 3032]",971.98
5,"[232, 1751, 3501, 2119, 3032]",971.98
5,"[2119, 3501, 1751, 232, 3032]",971.98
5,"[232, 2119, 3501, 1751, 3032]",971.98
5,"[232, 1751, 3501, 1899, 2720]",812.08
5,"[2119, 116, 2919, 2119, 3032]",1050.55
5,"[1751, 3501, 3501, 2119, 3032]",1578.89
5,"[2119, 3501, 1751, 232, 3032]",971.98
6,"[232, 1751, 3501, 2119, 3032]",971.98
6,"[3501, 3212, 1751, 3561, 2237]",719.31
6,"[2119, 116, 2919, 2119, 3032]",1050.55
6,"[3501, 3212, 1751, 3561, 2237]",719.31
6,"[1751, 3501, 1751, 3561, 2237]",747.17
6,"[3501, 3212, 3501, 2119, 3032]",1551.03
6,"[3501, 3212, 1751, 2119, 3032]",934.76
6,"[2119, 116, 2919, 3561, 2237]",835.1
6,"[2119, 3501, 3501, 1751, 3032]",1578.89
6,"[1751, 3501, 3501, 2119, 3032]",1578.89
7,"[3501, 3212, 3501, 1751, 3032]",1375.69
7,"[2119, 3501, 1751, 2119, 3032]",1137.96
7,"[3501, 3212, 3501, 2119, 3032]",1551.03
7,"[2119, 116, 2919, 2119, 3032]",1050.55
7,"[2119, 116, 2919, 3561, 2237]",835.1
7,"[2119, 116, 2919, 3561, 2237]",835.1
7,"[3501, 3212, 3501, 2119, 3032]",1551.03
7,"[3501, 3212, 3501, 2119, 3032]",1551.03
7,"[3501, 3212, 3501, 2119, 3032]",1551.03
7,"[2119, 3501, 3501, 1751, 3032]",1578.89
8,"[3501, 3212, 3501, 1751, 3032]",1375.69
8,"[3501, 3212, 3501, 1751, 3032]",1375.69
8,"[3501, 3501, 1751, 2119, 3032]",1578.89
8,"[2119, 3501, 3501, 1751, 3032]",1578.89
8,"[3501, 3212, 3501, 1751, 3032]",1375.69
8,"[3501, 3212, 3501, 2119, 3032]",1551.03
8,"[3501, 3212, 3501, 2119, 3032]",1551.03
8,"[3501, 2119, 3501, 1751, 3032]",1578.89
8,"[3501, 3212, 3501, 1751, 3032]",1375.69
8,"[2119, 3501, 3501, 1751, 3032]",1578.89
9,"[3501, 3212, 3501, 2119, 3032]",1551.03
9,"[3501, 3501, 1751, 2119, 3032]",1578.89
9,"[3501, 3212, 3501, 1751, 3032]",1375.69
9,"[3501, 3212, 3501, 1751, 3032]",1375.69
9,"[3501, 2119, 3501, 2119, 3032]",1754.23
9,"[3501, 3501, 1751, 1751, 3032]",1403.55
9,"[3501, 3501, 3501, 1751, 3032]",2019.82
9,"[3501, 3212, 3501, 2119, 3032]",1551.03
9,"[3501, 3501, 1751, 1751, 3032]",1403.55
9,"[3501, 3501, 1751, 2119, 3032]",1578.89
10,"[3501, 3501, 1751, 1751, 3032]",1403.55
10,"[3501, 3501, 3501, 1751, 3032]",2019.82
10,"[3501, 3212, 2119, 3501, 3032]",1551.03
10,"[1751, 3501, 3212, 3501, 3032]",1375.69
10,"[3501, 3501, 3501, 2119, 3032]",2195.16
10,"[3501, 3212, 3501, 2119, 3032]",1551.03
10,"[3501, 3212, 3501, 1751, 3032]",1375.69
10,"[3501, 3501, 1751, 1751, 3032]",1403.55
10,"[3501, 3212, 3501, 1751, 3032]",1375.69
10,"[3501, 1751, 3501, 3501, 3032]",2019.82
11,"[3501, 3501, 3501, 1751, 3032]",2019.82
11,"[3501, 3212, 3501, 2119, 3032]",1551.03
11,"[3501, 3501, 3501, 1751, 3032]",2019.82
11,"[3501, 3501, 3501, 1751, 3032]",2019.82
11,"[3501, 3212, 3501, 2119, 3032]",1551.03
11,"[3501, 3501, 3501, 2119, 3032]",2195.16
11,"[3501, 3501, 3501, 1751, 3032]",2019.82
11,"[3501, 1751, 3501, 3501, 3032]",2019.82
11,"[3501, 1751, 3501, 3501, 3032]",2019.82
11,"[3501, 3501, 3501, 2119, 3032]",2195.16
12,"[3501, 3501, 3501, 1751, 3032]",2019.82
12,"[3501, 3501, 3501, 1751, 3032]",2019.82
12,"[3501, 3501, 3501, 2119, 3032]",2195.16
12,"[3501, 3501, 3501, 2119, 3032]",2195.16
12,"[3501, 1751, 3501, 3501, 3032]",2019.82
12,"[3501, 3501, 3501, 1751, 3032]",2019.82
12,"[3501, 1751, 3501, 3501, 3032]",2019.82
12,"[3501, 1751, 3501, 3501, 3032]",2019.82
12,"[3501, 3501, 3501, 1751, 3032]",2019.82
12,"[3501, 3501, 3501, 2119, 3032]",2195.16
13,"[3501, 1751, 3501, 3501, 3032]",2019.82
13,"[3501, 3501, 3501, 2119, 3032]",2195.16
13,"[3501, 1751, 3501, 3501, 3032]",2019.82
13,"[3501, 3501, 3501, 1751, 3032]",2019.82
13,"[3501, 3501, 3501, 1751, 3032]",2019.82
13,"[3501, 3501, 3501, 1751, 3032]",2019.82
13,"[3501, 3501, 3501, 3501, 3032]",2636.09
13,"[3501, 1751, 3501, 2119, 3032]",1578.89
13,"[3501, 3501, 3501, 3501, 3032]",2636.09
13,"[3501, 3501, 3501, 2119, 3032]",2195.16
14,"[3501, 3501, 3501, 1751, 3032]",2019.82
14,"[3501, 3501, 3501, 1751, 3032]",2019.82
14,"[3501, 3501, 3501, 3501, 3032]",2636.09
14,"[3501, 3501, 3501, 1751, 3032]",2019.82
14,"[3501, 3501, 3501, 3501, 3032]",2636.09
14,"[3501, 3501, 3501, 1751, 3032]",2019.82
14,"[3501, 3501, 3501, 1751, 3032]",2019.82
14,"[3501, 3501, 3501, 1751, 3032]",2019.82
14,"[3501, 3501, 3501, 1751, 3032]",2019.82
14,"[3501, 3501, 3501, 3501, 3032]",2636.09
15,"[3501, 3501, 3501, 1751, 3032]",2019.82
15,"[3501, 3501, 3501, 1751, 3032]",2019.82
15,"[3501, 3501, 3501, 1751, 3032]",2019.82
15,"[3501, 3501, 3501, 1751, 3032]",2019.82
15,"[3501, 3501, 3501, 1751, 3032]",2019.82
15,"[3501, 3501, 3501, 3501, 3032]",2636.09
15,"[3501, 3501, 3501, 3501, 3032]",2636.09
15,"[3501, 3501, 3501, 1751, 3032]",2019.82
15,"[3501, 3501, 3501, 3501, 3032]",2636.09
15,"[3501, 3501, 3501, 3501, 3032]",2636.09
16,"[3501, 3501, 3501, 3501, 3032]",2636.09
16,"[3501, 3501, 3501, 3501, 3032]",2636.09
16,"[3501, 3501, 3501, 1751, 3032]",2019.82
16,"[3501, 3501, 3501, 3501, 3032]",2636.09
16,"[3501, 3501, 3501, 1751, 3032]",2019.82
16,"[3501, 3501, 3501, 3501, 3032]",2636.09
16,"[3501, 3501, 3501, 1751, 3032]",2019.82
16,"[3501, 3501, 3501, 1751, 3032]",2019.82
16,"[3501, 3501, 3501, 3501, 3032]",2636.09
16,"[3501, 3501, 3501, 3501, 3032]",2636.09
17,"[3501, 3501, 3501, 3501, 3032]",2636.09
17,"[3501, 3501, 3501, 3501, 3032]",2636.09
17,"[3501, 3501, 3501, 3501, 3032]",2636.09
17,"[3501, 3501, 3501, 3501, 3032]",2636.09
17,"[3501, 3501, 3501, 3501, 3032]",2636.09
17,"[3501, 3501, 3501, 3501, 3032]",2636.09
17,"[3501, 3501, 3501, 1751, 3032]",2019.82
17,"[3501, 3501, 3501, 3501, 3032]",2636.09
17,"[1751, 3501, 3501, 3501, 3032]",2019.82
17,"[3501, 3501, 3501, 3501, 3032]",2636.09
18,"[3501, 3501, 3501, 3501, 3032]",2636.09
18,"[3501, 3501, 3501, 3501, 3032]",2636.09
18,"[3501, 3501, 3501, 3501, 3032]",2636.09
18,"[3501, 3501, 3501, 3501, 3032]",2636.09
18,"[3501, 3501, 3501, 3501, 3032]",2636.09
18,"[3501, 3501, 3501, 3501, 3032]",2636.09
18,"[1751, 3501, 3501, 3501, 3032]",2019.82
18,"[3501, 3501, 3501, 3501, 3032]",2636.09
18,"[3501, 3501, 3501, 3501, 3032]",2636.09
18,"[3501, 3501, 3501, 3501, 3032]",2636.09
19,"[3501, 3501, 3501, 3501, 3032]",2636.09
19,"[3501, 3501, 3501, 3501, 3032]",2636.09
19,"[3501, 3501, 3501, 3501, 3032]",2636.09
19,"[3501, 3501, 3501, 3501, 3032]",2636.09
19,"[3501, 3501, 3501, 3501, 3032]",2636.09
19,"[3501, 3501, 3501, 3501, 3032]",2636.09
19,"[3501, 3501, 3501, 3501, 3032]",2636.09
19,"[3501, 3501, 3501, 3501, 3032]",2636.09
19,"[3501, 3501, 3501, 3501, 3032]",2636.09
19,"[3501, 3501, 3501, 3501, 3032]",2636.09
20,"[3501, 3501, 3501, 3501, 3032]",2636.09
20,"[3501, 3501, 3501, 3501, 3032]",2636.09
20,"[3501, 3501, 3501, 3501, 3032]",2636.09
20,"[3501, 3501, 3501, 3501, 3032]",2636.09
20,"[3501, 3501, 3501, 3501, 3032]",2636.09
20,"[3501, 3501, 3501, 3501, 3032]",2636.09
20,"[3501, 3501, 3501, 3501, 3032]",2636.09
20,"[3501, 3501, 3501, 3501, 3032]",2636.09
20,"[3501, 3501, 3501, 3501, 3032]",2636.09
20,"[3501, 3501, 3501, 3501, 3032]",2636.09
21,"[3501, 3501, 3501, 3501, 3032]",2636.09
21,"[3501, 3501, 3501, 3501, 3032]",2636.09
21,"[3501, 3501, 3501, 3501, 3032]",2636.09
21,"[3501, 3501, 3501, 3501, 3032]",2636.09
21,"[3501, 3501, 3501, 3501, 3032]",2636.09
21,"[3501, 3501, 3501, 3501, 3032]",2636.09
21,"[3501, 3501, 3501, 3501, 3032]",2636.09
21,"[3501, 3501, 3501, 3501, 3032]",2636.09
21,"[3501, 3501, 3501, 3501, 3032]",2636.09
21,"[3501, 3501, 3501, 3501, 3032]",2636.09
22,"[3501, 3501, 3501, 3501, 3032]",2636.09
22,"[3501, 3501, 3501, 3501, 3032]",2636.09
22,"[3501, 3501, 3501, 3501, 3032]",2636.09
22,"[3501, 3501, 3501, 3501, 3032]",2636.09
22,"[3501, 3501, 3501, 3501, 3032]",2636.09
22,"[3501, 3501, 3501, 3501, 3032]",2636.09
22,"[3501, 3501, 3501, 3501, 3032]",2636.09
22,"[3501, 3501, 3501, 3501, 3032]",2636.09
22,"[3501, 3501, 3501, 3501, 3032]",2636.09
22,"[3501, 3501, 3501, 3501, 3032]",2636.09
23,"[3501, 3501, 3501, 3501, 3032]",2636.09
23,"[3501, 3501, 3501, 3501, 3032]",2636.09
23,"[3501, 3501, 3501, 3501, 3032]",2636.09
23,"[3501, 3501, 3501, 3501, 3032]",2636.09
23,"[3501, 3501, 3501, 3501, 3032]",2636.09
23,"[3501, 3501, 3501, 3501, 3032]",2636.09
23,"[3501, 3501, 3501, 3501, 3032]",2636.09
23,"[3501, 3501, 3501, 3501, 3032]",2636.09
23,"[3501, 3501, 3501, 3501, 3032]",2636.09
23,"[3501, 3501, 3501, 3501, 3032]",2636.09
24,"[3501, 3501, 3501, 3501, 3032]",2636.09
24,"[3501, 3501, 3501, 3501, 3032]",2636.09
24,"[3501, 3501, 3501, 3501, 3032]",2636.09
24,"[3501, 3501, 3501, 3501, 3032]",2636.09
24,"[3501, 3501, 3501, 3501, 3032]",2636.09
24,"[3501, 3501, 3501, 3501, 3032]",2636.09
24,"[3501, 3501, 3501, 3501, 3032]",2636.09
24,"[3501, 3501, 3501, 3501, 3032]",2636.09
24,"[3501, 3501, 3501, 3501, 3032]",2636.09
24,"[3501, 3501, 3501, 3501, 3032]",2636.09
25,"[3501, 3501, 3501, 3501, 3032]",2636.09
25,"[3501, 3501, 3501, 3501, 3032]",2636.09
25,"[3501, 3501, 3501, 3501, 3032]",2636.09
25,"[3501, 3501, 3501, 3501, 3032]",2636.09
25,"[3501, 3501, 3501, 3501, 3032]",2636.09
25,"[3501, 3501, 3501, 3501, 3032]",2636.09
25,"[3501, 3501, 3501, 3501, 3032]",2636.09
25,"[3501, 3501, 3501, 3501, 3032]",2636.09
25,"[3501, 3501, 3501, 3501, 3032]",2636.09
25,"[3501, 3501, 3501, 3501, 3032]",2636.09
26,"[3501, 3501, 3501, 3501, 3032]",2636.09
26,"[3501, 3501, 3501, 3501, 3032]",2636.09
26,"[3501, 3501, 3501, 3501, 3032]",2636.09
26,"[3501, 3501, 3501, 3501, 3032]",2636.09
26,"[3501, 3501, 3501, 3501, 3032]",2636.09
26,"[3501, 3501, 3501, 3501, 3032]",2636.09
26,"[3501, 3501, 3501, 3501, 3032]",2636.09
26,"[3501, 3501, 3501, 3501, 3032]",2636.09
26,"[3501, 3501, 3501, 3501, 3032]",2636.09
26,"[3501, 3501, 3501, 3501, 3032]",2636.09
27,"[3501, 3501, 3501, 3501, 3032]",2636.09
27,"[3501, 3501, 3501, 3501, 3032]",2636.09
27,"[3501, 3501, 3501, 3501, 3032]",2636.09
27,"[3501, 3501, 3501, 3501, 3032]",2636.09
27,"[3501, 3501, 3501, 3501, 3032]",2636.09
27,"[3501, 3501, 3501, 3501, 3032]",2636.09
27,"[3501, 3501, 3501, 3501, 3032]",2636.09
27,"[3501, 3501, 3501, 3501, 3032]",2636.09
27,"[3501, 3501, 3501, 3501, 3032]",2636.09
27,"[3501, 3501, 3501, 3501, 3032]",2636.09
28,"[3501, 3501, 3501, 3501, 3032]",2636.09
28,"[3501, 3501, 3501, 3501, 3032]",2636.09
28,"[3501, 3501, 3501, 3501, 3032]",2636.09
28,"[3501, 3501, 3501, 3501, 3032]",2636.09
28,"[3501, 3501, 3501, 3501, 3032]",2636.09
28,"[3501, 3501, 3501, 3501, 3032]",2636.09
28,"[3501, 3501, 3501, 3501, 3032]",2636.09
28,"[3501, 3501, 3501, 3501, 3032]",2636.09
28,"[3501, 3501, 3501, 3501, 3032]",2636.09
28,"[3501, 3501, 3501, 3501, 3032]",2636.09
29,"[3501, 3501, 3501, 3501, 3032]",2636.09
29,"[3501, 3501, 3501, 3501, 3032]",2636.09
29,"[3501, 3501, 3501, 3501, 3032]",2636.09
29,"[3501, 3501, 3501, 3501, 3032]",2636.09
29,"[3501, 3501, 3501, 3501, 3032]",2636.09
29,"[3501, 3501, 3501, 3501, 3032]",2636.09
29,"[3501, 3501, 3501, 3501, 3032]",2636.09
29,"[3501, 3501, 3501, 3501, 3032]",2636.09
29,"[3501, 3501, 3501, 3501, 3032]",2636.09
29,"[3501, 3501, 3501, 3501, 3032]",2636.09
30,"[3501, 3501, 3501, 3501, 3032]",2636.09
30,"[3501, 3501, 3501, 3501, 3032]",2636.09
30,"[3501, 3501, 3501, 3501, 3032]",2636.09
30,"[3501, 3501, 3501, 3501, 3032]",2636.09
30,"[3501, 3501, 3501, 3501, 3032]",2636.09
30,"[3501, 3501, 3501, 3501, 3032]",2636.09
30,"[3501, 3501, 3501, 3501, 3032]",2636.09
30,"[3501, 3501, 3501, 3501, 3032]",2636.09
30,"[3501, 3501, 3501, 3501, 3032]",2636.09
30,"[3501, 3501, 3501, 3501, 3032]",2636.09
31,"[3501, 3501, 3501, 3501, 3032]",2636.09
31,"[3501, 3501, 3501, 3501, 3032]",2636.09
31,"[3501, 3501, 3501, 3501, 3032]",2636.09
31,"[3501, 3501, 3501, 3501, 3032]",2636.09
31,"[3501, 3501, 3501, 3501, 3032]",2636.09
31,"[3501, 3501, 3501, 3501, 3032]",2636.09
31,"[3501, 3501, 3501, 3501, 3032]",2636.09
31,"[3501, 3501, 3501, 3501, 3032]",2636.09
31,"[3501, 3501, 3501, 3501, 3032]",2636.09
31,"[3501, 3501, 3501, 3501, 3032]",2636.09
32,"[3501, 3501, 3501, 3501, 3032]",2636.09
32,"[3501, 3501, 3501, 3501, 3032]",2636.09
32,"[3501, 3501, 3501, 3501, 3032]",2636.09
32,"[3501, 3501, 3501, 3501, 3032]",2636.09
32,"[3501, 3501, 3501, 3501, 3032]",2636.09
32,"[3501, 3501, 3501, 3501, 3032]",2636.09
32,"[3501, 3501, 3501, 3501, 3032]",2636.09
32,"[3501, 3501, 3501, 3501, 3032]",2636.09
32,"[3501, 3501, 3501, 3501, 3032]",2636.09
32,"[3501, 3501, 3501, 3501, 3032]",2636.09
33,"[3501, 3501, 3501, 3501, 3032]",2636.09
33,"[3501, 3501, 3501, 3501, 3032]",2636.09
33,"[3501, 3501, 3501, 3501, 3032]",2636.09
33,"[3501, 3501, 3501, 3501, 3032]",2636.09
33,"[3501, 3501, 3501, 3501, 3032]",2636.09
33,"[3501, 3501, 3501, 3501, 3032]",2636.09
33,"[3501, 3501, 3501, 3501, 3032]",2636.09
33,"[3501, 3501, 3501, 3501, 3032]",2636.09
33,"[3501, 3501, 3501, 3501, 3032]",2636.09
33,"[3501, 3501, 3501, 3501, 3032]",2636.09
34,"[3501, 3501, 3501, 3501, 3032]",2636.09
34,"[3501, 3501, 3501, 3501, 3032]",2636.09
34,"[3501, 3501, 3501, 3501, 3032]",2636.09
34,"[3501, 3501, 3501, 3501, 3032]",2636.09
34,"[3501, 3501, 3501, 3501, 3032]",2636.09
34,"[3501, 3501, 3501, 3501, 3032]",2636.09
34,"[3501, 3501, 3501, 3501, 3032]",2636.09
34,"[3501, 3501, 3501, 3501, 3032]",2636.09
34,"[3501, 3501, 3501, 3501, 3032]",2636.09
34,"[3501, 3501, 3501, 3501, 3032]",2636.09
35,"[3501, 3501, 3501, 3501, 3032]",2636.09
35,"[3501, 3501, 3501, 3501, 3032]",2636.09
35,"[3501, 3501, 3501, 3501, 3032]",2636.09
35,"[3501, 3501, 3501, 3501, 3032]",2636.09
35,"[3501, 3501, 3501, 3501, 3032]",2636.09
35,"[3501, 3501, 3501, 3501, 3032]",2636.09
35,"[3501, 3501, 3501, 3501, 3032]",2636.09
35,"[3501, 3501, 3501, 3501, 3032]",2636.09
35,"[3501, 3501, 3501, 3501, 3032]",2636.09
35,"[3501, 3501, 3501, 3501, 3032]",2636.09
36,"[3501, 3501, 3501, 3501, 3032]",2636.09
36,"[3501, 3501, 3501, 3501, 3032]",2636.09
36,"[3501, 3501, 3501, 3501, 3032]",2636.09
36,"[3501, 3501, 3501, 3501, 3032]",2636.09
36,"[3501, 3501, 3501, 3501, 3032]",2636.09
36,"[3501, 3501, 3501, 3501, 3032]",2636.09
36,"[3501, 3501, 3501, 3501, 3032]",2636.09
36,"[3501, 3501, 3501, 3501, 3032]",2636.09
36,"[3501, 3501, 3501, 3501, 3032]",2636.09
36,"[3501, 3501, 3501, 3501, 3032]",2636.09
37,"[3501, 3501, 3501, 3501, 3032]",2636.09
37,"[3501, 3501, 3501, 3501, 3032]",2636.09
37,"[3501, 3501, 3501, 3501, 3032]",2636.09
37,"[3501, 3501, 3501, 3501, 3032]",2636.09
37,"[3501, 3501, 3501, 3501, 3032]",2636.09
37,"[3501, 3501, 3501, 3501, 3032]",2636.09
37,"[3501, 3501, 3501, 3501, 3032]",2636.09
37,"[3501, 3501, 3501, 3501, 3032]",2636.09
37,"[3501, 3501, 3501, 3501, 3032]",2636.09
37,"[3501, 3501, 3501, 3501, 3032]",2636.09
38,"[3501, 3501, 3501, 3501, 3032]",2636.09
38,"[3501, 3501, 3501, 3501, 3032]",2636.09
38,"[3501, 3501, 3501, 3501, 3032]",2636.09
38,"[3501, 3501, 3501, 3501, 3032]",2636.09
38,"[3501, 3501, 3501, 3501, 3032]",2636.09
38,"[3501, 3501, 3501, 3501, 3032]",2636.09
38,"[3501, 3501, 3501, 3501, 3032]",2636.09
38,"[3501, 3501, 3501, 3501, 3032]",2636.09
38,"[3501, 3501, 3501, 3501, 3032]",2636.09
38,"[3501, 3501, 3501, 3501, 3032]",2636.09
39,"[3501, 3501, 3501, 3501, 3032]",2636.09
39,"[3501, 3501, 3501, 3501, 3032]",2636.09
39,"[3501, 3501, 3501, 3501, 3032]",2636.09
39,"[3501, 3501, 3501, 3501, 3032]",2636.09
39,"[3501, 3501, 3501, 3501, 3032]",2636.09
39,"[3501, 3501, 3501, 3501, 3032]",2636.09
39,"[3501, 3501, 3501, 3501, 3032]",2636.09
39,"[3501, 3501, 3501, 3501, 3032]",2636.09
39,"[3501, 3501, 3501, 3501, 3032]",2636.09
39,"[3501, 3501, 3501, 3501, 3032]",2636.09
40,"[3501, 3501, 3501, 3501, 3032]",2636.09
40,"[3501, 3501, 3501, 3501, 3032]",2636.09
40,"[3501, 3501, 3501, 3501, 3032]",2636.09
40,"[3501, 3501, 3501, 3501, 3032]",2636.09
40,"[3501, 3501, 3501, 3501, 3032]",2636.09
40,"[3501, 3501, 3501, 3501, 3032]",2636.09
40,"[3501, 3501, 3501, 3501, 3032]",2636.09
40,"[3501, 3501, 3501, 3501, 3032]",2636.09
40,"[3501, 3501, 3501, 3501, 3032]",2636.09
40,"[3501, 3501, 3501, 3501, 3032]",2636.09
